,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
David de Gea,es ESP,GK,28,38,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,Matches
Harry Maguire,eng ENG,DF,26,38,44,27,25,18,1,14,36,38.9,22,240,90,37.5,155,77,8,45,25,0,20,55,99,246,1,Matches
Victor Lindel?f,se SWE,DF,25,34.4,30,16,21,8,1,12,17,70.6,5,221,64,29,117,98,6,50,21,0,29,25,55,170,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,138,65,82,48,8,45,73,61.6,28,611,176,28.8,306,228,77,101,14,0,87,49,187,108,0,Matches
Marcus Rashford,eng ENG,FW,21,29.4,12,6,1,7,4,7,28,25,21,378,102,27,32,175,171,26,0,0,26,8,20,20,0,Matches
Anthony Martial,fr FRA,FW,23,29.2,15,12,1,4,10,1,13,7.7,12,379,108,28.5,24,127,228,19,1,0,18,5,20,16,0,Matches
Daniel James,wal WAL,FW,21,25.4,25,15,6,12,7,6,45,13.3,39,569,143,25.1,125,262,182,37,4,0,33,4,29,10,0,Matches
Fred,br BRA,MF,26,24,79,51,41,33,5,29,98,29.6,69,707,194,27.4,289,328,90,64,8,0,56,28,107,26,0,Matches
Scott McTominay,sco SCO,MF,22,19.7,50,31,20,26,4,17,38,44.7,21,262,84,32.1,94,138,30,39,6,0,33,23,73,52,0,Matches
Luke Shaw,eng ENG,DF,24,19.3,34,24,18,10,6,15,35,42.9,20,274,78,28.5,120,118,36,53,7,0,46,15,49,58,0,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,41,21,18,22,1,9,33,27.3,24,276,79,28.6,103,151,22,33,9,0,24,18,59,35,1,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,22,12,5,11,6,10,42,23.8,32,429,114,26.6,80,234,115,24,0,0,24,11,33,6,0,Matches
Bruno Fernandes,pt POR,MF,24,13.2,19,14,7,8,4,5,34,14.7,29,260,65,25,59,124,77,14,0,0,14,7,26,12,0,Matches
Paul Pogba,fr FRA,MF,26,13.4,25,16,11,10,4,8,18,44.4,10,165,58,35.2,61,71,33,20,7,0,13,4,29,13,1,Matches
Mason Greenwood,eng ENG,FW,17,14.7,19,13,6,6,7,7,21,33.3,14,190,61,32.1,50,75,65,15,0,0,15,7,26,4,0,Matches
Brandon Williams,eng ENG,DF,18,11.2,19,5,12,5,2,8,28,28.6,20,166,40,24.1,74,63,29,36,6,0,30,8,27,23,0,Matches
Ashley Young,eng ENG,DF,34,10.6,10,4,4,3,3,2,21,9.5,19,119,35,29.4,47,58,14,24,2,0,22,14,24,30,0,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,13,9,5,2,6,4,15,26.7,11,336,80,23.8,62,173,101,9,1,0,8,6,19,1,0,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,8,7,2,4,2,2,13,15.4,11,118,35,29.7,18,55,45,7,1,0,6,1,9,1,0,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,3,3,0,3,0,0,1,0,1,30,8,26.7,12,14,4,7,0,0,7,2,5,6,1,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,1,1,1,0,0,1,4,25,3,19,5,26.3,9,9,1,0,0,0,0,4,5,2,0,Matches
Phil Jones,eng ENG,DF,27,1.5,4,2,2,2,0,2,2,100,0,18,9,50,12,5,1,1,0,0,1,2,6,19,1,Matches
Eric Bailly,ci CIV,DF,25,1.7,0,0,0,0,0,0,1,0,1,17,4,23.5,10,7,0,3,3,0,0,2,2,7,0,Matches
Marcos Rojo,ar ARG,DF,29,1.4,2,1,1,1,0,0,3,0,3,16,4,25,6,9,1,1,1,0,0,1,3,9,0,Matches
Diogo Dalot,pt POR,DF,20,0.7,3,2,3,0,0,2,4,50,2,8,4,50,3,2,3,1,0,0,1,0,3,4,0,Matches
Odion Ighalo,ng NGA,FW,30,1.1,2,2,0,2,0,1,2,50,1,23,5,21.7,4,6,13,2,1,0,1,0,2,0,0,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,0,0,0,0,0,0,0,,0,15,4,26.7,4,3,8,0,0,0,0,1,1,0,0,Matches
Angel Gomes,eng ENG,MF,18,0.2,0,0,0,0,0,0,0,,0,11,1,9.1,6,4,1,1,0,0,1,0,0,0,0,Matches
James Garner,eng ENG,MF,18,0.1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,Matches
Squad Total,,,,38,618,359,292,245,81,207,626,33.1,419,5860,1650,28.2,1883,2616,1361,632,117,0,515,300,918,880,7,
