Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
David-de-Gea,es ESP,GK,28,38,726,934,77.7,18869,11023,190,190,100,342,347,98.6,194,393,49.4,0,0,0,0,6,0,0,0,Matches
Harry-Maguire,eng ENG,DF,26,38,2127,2403,88.5,46934,11790,552,609,90.6,1160,1247,93,396,518,76.4,1,0.6,0.4,16,167,2,0,98,Matches
Victor-Lindelof,se SWE,DF,25,34.4,1764,2013,87.6,35555,11016,564,610,92.5,958,1026,93.4,227,340,66.8,0,0.3,-0.3,4,82,1,0,93,Matches
Aaron-Wan-Bissaka,eng ENG,DF,21,34.1,1676,2064,81.2,24885,9484,986,1087,90.7,572,707,80.9,77,154,50,4,2.9,1.1,26,106,20,10,143,Matches
Marcus-Rashford,eng ENG,FW,21,29.4,758,988,76.7,12428,3377,419,499,84,255,318,80.2,62,108,57.4,7,4.6,2.4,33,61,67,4,131,Matches
Anthony-Martial,fr FRA,FW,23,29.2,575,721,79.8,8013,1715,360,415,86.7,168,206,81.6,22,31,71,6,4.1,1.9,31,36,33,1,64,Matches
Daniel-James,wal WAL,FW,21,25.4,586,803,73,9010,2145,342,407,84,185,243,76.1,40,76,52.6,6,4,2,26,34,29,9,60,Matches
Fred,br BRA,MF,26,24,1463,1714,85.4,29437,7269,558,616,90.6,629,689,91.3,253,353,71.7,0,2.5,-2.5,37,155,15,3,131,Matches
Scott-McTominay,sco SCO,MF,22,19.7,816,995,82,16601,4084,311,371,83.8,352,406,86.7,143,191,74.9,1,0.7,0.3,14,88,11,2,82,Matches
Luke-Shaw,eng ENG,DF,24,19.3,1121,1296,86.5,16837,6228,628,676,92.9,430,493,87.2,45,83,54.2,0,1.5,-1.5,20,60,25,6,110,Matches
Nemanja-Matic,rs SRB,MF,30,17.6,1095,1240,88.3,20187,5092,477,519,91.9,477,515,92.6,132,179,73.7,2,1.2,0.8,17,117,12,1,98,Matches
Andreas-Pereira,br BRA,MF,23,16.5,566,770,73.5,9873,2763,278,322,86.3,209,270,77.4,66,141,46.8,3,3.8,-0.8,31,54,17,4,66,Matches
Bruno-Fernandes,pt POR,MF,24,13.2,608,853,71.3,11698,3233,285,339,84.1,220,284,77.5,97,192,50.5,7,2.5,4.5,34,72,23,2,80,Matches
Paul-Pogba,fr FRA,MF,26,13.4,880,1026,85.8,17758,4790,374,418,89.5,349,392,89,145,184,78.8,3,2.7,0.3,27,118,27,1,109,Matches
Mason-Greenwood,eng ENG,FW,17,14.7,416,488,85.2,6404,1161,232,262,88.5,143,159,89.9,27,41,65.9,1,0.7,0.3,13,21,9,1,27,Matches
Brandon-Williams,eng ENG,DF,18,11.2,531,636,83.5,8464,2692,291,322,90.4,201,231,87,32,65,49.2,0,0.6,-0.6,13,28,19,4,46,Matches
Ashley-Young,eng ENG,DF,34,10.6,565,735,76.9,11200,4597,230,251,91.6,251,296,84.8,81,168,48.2,0,1.2,-1.2,17,59,12,3,63,Matches
Jesse-Lingard,eng ENG,MF,26,10.4,351,409,85.8,5155,995,195,219,89,122,138,88.4,19,27,70.4,0,0.9,-0.9,17,31,10,0,30,Matches
Juan-Mata,es ESP,MF,31,8.4,442,523,84.5,7011,1625,258,271,95.2,137,163,84,41,65,63.1,2,2,0,19,41,18,2,40,Matches
Axel-Tuanzebe,eng ENG,DF,21,2.1,127,141,90.1,2333,660,54,58,93.1,55,59,93.2,17,21,81,0,0,0,0,8,0,0,5,Matches
Timothy-Fosu-Mensah,nl NED,DF,21,1.5,62,73,84.9,1076,303,28,31,90.3,26,31,83.9,6,7,85.7,0,0.1,-0.1,2,2,0,0,5,Matches
Phil-Jones,eng ENG,DF,27,1.5,79,89,88.8,1388,398,34,36,94.4,36,40,90,7,10,70,0,0,0,0,6,0,0,1,Matches
Eric-Bailly,ci CIV,DF,25,1.7,64,72,88.9,1266,433,21,24,87.5,34,36,94.4,9,11,81.8,0,0,0,0,2,0,0,4,Matches
Marcos-Rojo,ar ARG,DF,29,1.4,37,55,67.3,747,323,11,12,91.7,20,25,80,6,17,35.3,0,0,0,0,3,0,0,5,Matches
Diogo-Dalot,pt POR,DF,20,0.7,51,64,79.7,887,248,24,27,88.9,21,25,84,5,10,50,0,0,0,0,1,0,0,2,Matches
Odion-Ighalo,ng NGA,FW,30,1.1,21,23,91.3,279,22,15,17,88.2,4,4,100,2,2,100,0,0.1,-0.1,2,1,1,0,1,Matches
Tahith-Chong,nl NED,MF,19,0.4,9,14,64.3,136,36,4,6,66.7,5,5,100,0,1,0,0,0,0,0,1,0,0,2,Matches
Angel-Gomes,eng ENG,MF,18,0.2,11,13,84.6,235,83,3,4,75,4,5,80,3,3,100,0,0.1,-0.1,2,1,2,0,3,Matches
James-Garner,eng ENG,MF,18,0.1,15,15,100,253,44,9,9,100,5,5,100,1,1,100,0,0,0,0,1,0,0,1,Matches
Squad Total,,,24.8,38,17542,21170,82.9,324919,97629,7733,8627,89.6,7370,8365,88.1,2155,3392,63.5,43,37,6,401,1362,353,53,1500,
Opponent Total,,,26.7,38,13013,16853,77.2,257046,87732,5414,6141,88.2,5323,6339,84,2030,3675,55.2,24,24.7,-0.7,266,935,222,53,1002,
